,id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link,abstract
31,US-9089493-B2,Skin care composition ,The Procter & Gamble Company,"Robert John Elsbrock, Paul Robert Tanner, Juliet Ann Jones",2005-09-16,2005-09-16,2015-07-28,2015-07-28,https://patents.google.com/patent/US9089493B2/en,https://patentimages.storage.googleapis.com/dc/30/f3/79229c21eb0f7e/US09089493-20150728-D00001.png,"Skin care composition comprising a plurality of interference pigments and a dermatologically acceptable carrier. The plurality comprises at least a first interference pigment which reflects a first color, and at least a second interference pigment which reflects a second, complementary color. The total amount of interference pigments is from about 0.1% to about 10%."
32,US-2018133846-A1,Precipitation strengthened nickel based welding material for fusion welding of superalloys ,Liburdi Engineering Limited,"Alexander B. Goncharov, Joseph Liburdi, Paul Lowden",2013-12-24,2018-01-11,2018-05-17,,https://patents.google.com/patent/US20180133846A1/en,https://patentimages.storage.googleapis.com/99/bc/f5/71eff71e2d6409/US20180133846A1-20180517-D00001.png,"A precipitation strengthened nickel based welding material that comprises 5-15 wt. % Co, 5-25 wt. % Cr, 1-6 wt. % Al, 0.05-0.2 wt. % C, 0.015-0.4 wt. % B, 1-3 wt. % Si, chemical elements selected from among tungsten and molybdenum from about 1 to 20 wt. %, chemical elements selected from among titanium, zirconium, hafnium, tantalum and rhenium from about 1 to 18 wt. % and nickel with impurities to balance, wherein the boron content is inversely proportional to silicon content and decreases from about 0.3 wt. % to about 0.015 wt. % when silicon content increases from about 1 wt. % to about 3 wt. % produces sound high strength and high oxidation resistance crack free welds on precipitation strengthened superalloys and single crystal materials."
33,US-7534595-B2,Compositions of prokaryotic phenylalanine ammonia-lyase and methods of using compositions thereof ,Biomarin Pharmaceutical Inc.,"Michel Claude Vellard, Paul Andrew Fitzpatrick, Emil D. Kakkis, Daniel J. Wendt",2006-06-12,2007-05-25,2009-05-19,2009-05-19,https://patents.google.com/patent/US7534595B2/en,https://patentimages.storage.googleapis.com/73/96/cd/9dc4c14a32a448/US07534595-20090519-D00008.png,"The present invention is directed to phenylalanine ammonia-lyase (PAL) produced by prokaryotes, wherein such prokaryotic PAL wherein the PAL variant has a greater phenylalanine-converting activity and/or a reduced immunogenicity as compared to a wild-type PAL. The invention thus provides compositions of bacterial PAL and biologically active fragments, mutants, variants and analogs thereof, as well as methods for the production, purification, and use of such compositions for therapeutic and industrial purposes."
34,US-7910203-B2,Selectively metallized heat transfer label ,Illinois Tool Works Inc.,"Michael B. Colella, Paul Giusto, Eileen M. Norris",2006-09-08,2007-08-31,2011-03-22,2011-03-22,https://patents.google.com/patent/US7910203B2/en,https://patentimages.storage.googleapis.com/c0/74/ce/62992532815845/US07910203-20110322-D00000.png,"A selectively metallized heat transfer label for transfer to a substrate includes a support portion having a carrier layer and a release layer applied to the carrier layer, and a transfer portion including a protective layer applied to the release layer, a metallizable layer applied to the protective layer, a metal layer applied to the metallizable layer, a metal transferring adhesive layer applied to the metal layer and configured to adhere to both the metal layer and the desired substrate and a non-metal transferring ink layer applied to the metal layer and configured to adhere to the desired substrate but not to the metal layer. When heat and pressure are applied to the carrier, the metal transferring adhesive adheres to both the metal layer and the substrate while the non-transferring ink layer adheres only to the substrate."
35,US-7790433-B2,Compositions of prokaryotic phenylalanine ammonia-lyase and methods of treating cancer using compositions thereof ,Biomarin Pharmaceutical Inc.,"Emil D. Kakkis, Paul A. Fitzpatrick, Daniel J. Wendt, Sean M. Bell, Augustus O. Okhamafe",2007-08-17,2009-04-09,2010-09-07,2010-09-07,https://patents.google.com/patent/US7790433B2/en,https://patentimages.storage.googleapis.com/25/5e/ec/04abc978aa19e6/US07790433-20100907-D00001.png,"The present invention is directed to phenylalanine ammonia-lyase (PAL) variants produced by prokaryotes, wherein such prokaryotic PAL variant has a greater phenylalanine-converting activity and/or a reduced immunogenicity as compared to a wild-type PAL. The invention provides compositions of prokaryotic PAL and biologically active fragments, mutants, variants or analogs thereof, as well as methods for the production, purification, and use of such compositions for therapeutic purposes, including the treatment of cancer."
36,US-2021085778-A1,Parenteral norovirus vaccine formulations ,"Takeda Vaccines, Inc.","Charles Richardson, Thomas S. Foubert, Robert F. Bargatze, Paul Mendelman",2011-07-11,2020-06-05,2021-03-25,,https://patents.google.com/patent/US20210085778A1/en,https://patentimages.storage.googleapis.com/36/e9/d9/7789f77ddaaf8d/US20210085778A1-20210325-D00001.png,The present invention relates to single dose parenteral vaccine compositions comprising mixtures of monovalent Norovirus virus-like particles. Methods of conferring protective immunity against Norovirus infections in a human subject by administering such compositions are also disclosed.
37,US-2009275570-A1,"Substituted heterocycles and their use as chk1, pdk1 and pak inhibitors ",Astrazeneca Ab,"Kevin Daly, Nicola Heron, Alexander Hird, Stephanos Ioannidis, James Janetka, Paul Lyne, Jaime Scott, Dorin Toader, Melissa Vasbinder, Dingwei Yu, Yan Yu",2005-04-06,2006-04-05,2009-11-05,,https://patents.google.com/patent/US20090275570A1/en,,"The invention relates to novel compounds of Formula (I) and to their pharmaceutical compositions and to their methods of use. These novel compounds possess CHK1 kinase inhibitory activity, PDK1 inhibitory activity and Pak kinase inhibitory activity and are accordingly useful in the treatment and/or prophylaxis of cancer."
38,US-8479656-B2,Water based paintball and method for fabricating water based paintballs ,"Hydro-Caps, Llc","Paul M. Ciesiun, Ronnie E. Bayless",2005-02-05,2009-10-20,2013-07-09,2013-07-09,https://patents.google.com/patent/US8479656B2/en,https://patentimages.storage.googleapis.com/86/e6/cc/fbe878e99c504a/US08479656-20130709-D00000.png,"A paintball includes first and second half shell portions, each with a recess that can hold liquid containing dyes or other marking pigments. The liquid in the second half shell portion is relatively viscous, or becomes so after being placed in the second shell portion. The second shell portion can then be inverted and the liquid will stay within it. Neither shell portion includes a barrier to hold the liquids in place. The second half shell portion can then be placed on and joined with the first half shell portion to form a paintball."
39,US-2008274505-A1,"Polynucleotide encoding a novel TRP channel family member, LTRPC3, and splice variants thereof ",Bristol-Myers Squibb Company,"Ning Lee, Jian Chen, John N. Feder, Shujian Wu, Liana M. Lee, Michael A. Blanar, David Bol, Paul C. Lavesque, Lucy Sun",2001-08-02,2008-05-15,2008-11-06,,https://patents.google.com/patent/US20080274505A1/en,https://patentimages.storage.googleapis.com/US20080274505A1/US20080274505A1-20081106-D00001.png,"The present invention provides novel polynucleotides encoding LTRPC3 polypeptides, fragments and homologues thereof. The present invention also provides polynucleotides encoding variants and splice variants of LTRPC3 polypeptides, LTRPC3b, LTRPC3c, LTRPC3d, LTRPC3e, and LTRPC3f, respectively. Also provided are vectors, host cells, antibodies, and recombinant and synthetic methods for producing said polypeptides. The invention further relates to diagnostic and therapeutic methods for applying these novel LTRPC3, LTRPC3b, LTRPC3c, LTRPC3d, LTRPC3e, and LTRPC3f polypeptides to the diagnosis, treatment, and/or prevention of various diseases and/or disorders related to these polypeptides. The invention further relates to screening methods for identifying agonists and antagonists of the polynucleotides and polypeptides of the present invention."
40,US-2015284391-A1,Hepatitis c virus inhibitors ,Bristol-Myers Squibb Company,"Li-Qiang Sun, Eric Mull, Eric P. Gillis, Michael S. Bowsher, Qian Zhao, Kishore V. Renduchintala, Kandhasamy Sarkunam, Pulicharla Nagalakshmi, P.V.K. Suresh Babu, Paul Michael Scola",2012-10-19,2012-10-19,2015-10-08,,https://patents.google.com/patent/US20150284391A1/en,,Hepatitis C virus inhibitors having the general formula (I) are disclosed. Compositions comprising the compounds and methods for using the compounds to inhibit HCV are also disclosed.
41,US-2017136493-A1,Coated substrates prepared with waterborne sealer and primer compositions ,"Ppg Industries Ohio, Inc.","Paul H. Lamers, Casey Marie Sample",2015-11-17,2015-11-17,2017-05-18,,https://patents.google.com/patent/US20170136493A1/en,,"The present invention provides multilayer coated substrates, prepared using primer and/or sealer compositions comprising waterborne curable film-forming compositions, in turn comprising:
    a) an aqueous dispersion of a pigment and
         i) polymeric urethane-shell particles having a care-shell morphology and having hydroxyl functional groups, wherein the core is prepared from a monomer mixture comprising hydrophobic, ethylenically unsaturated monomers and the shell comprises a polyurethane or polyurethane-urea polymer; or ii) polymeric acrylic-shell particles having a core-shell morphology and having hydroxyl functional groups, wherein the core is prepared from a monomer mixture comprising hydrophobic, ethylenically unsaturated monomers and the shell is prepared from a monomer mixture comprising hydrophilic, ethylenically unsaturated monomers; 
 b) a polyisocyanate crosslinking agent; and optionally c) a hydroxyl functional, water dispersible acrylic polymer."
42,US-2016286662-A1,Methods of transferring electrically conductive materials ,"Ppg Industries Ohio, Inc., Si-Cal Technologies, Inc., A Nissha Company","Jaye Tyler, Paul F. Cheetham, Darren Burn, Gregory J. McCollum",2013-11-01,2014-10-31,2016-09-29,,https://patents.google.com/patent/US20160286662A1/en,,"Methods of transferring an electrically conductive material to a substrate are disclosed. The methods include: a) contacting at least a portion of the substrate with an electrically conductive material disposed on a carrier film; and b) applying heat and pressure to the substrate and carrier film for a period of time ranging from 1 to 40 seconds, at a temperature ranging from 200Â° F. to 450Â° F., and at a pressure ranging from 30 to 150 psi, such that the electrically conductive material adheres to the substrate. Methods of forming a layered structure are also disclosed."
43,US-6438306-B1,Radiation curable resin composition ,Dsm N.V.,"Timothy E. Bishop, Paul E. Snowwhite, Tyson Norlin, James J. Schouten, John Southwell, Anthony Toussaint",2000-04-07,2000-04-07,2002-08-20,2002-08-20,https://patents.google.com/patent/US6438306B1/en,https://patentimages.storage.googleapis.com/1f/39/aa/db3db2b290277c/US06438306-20020820-D00001.png,The present invention relates to a coated optical fiber comprising a glass optical fiber with a single protective coating or a combination of an inner and an outer primary coating applied thereon and optionally with a colored coating subsequently applied thereon wherein the inner primary coating or at least a portion of the single coating is prepared from a radiation curable composition which when cured as a capillary film with a 100 W medium pressure mercury lamp has a percentage reacted acrylate unsaturation of at least about 54% after exposure to a dose of about 4.4 mJ/cm2 or wherein the outer primary coating is prepared from a radiation curable composition which when cured as a capillary film with a 100 W medium pressure mercury lamp has a percentage reacted acrylate unsaturation of at least about 56% after exposure to a dose of about 4.4 mJ/cm2. The invention further relates to a radiation curable composition having a high cure speed.
44,US-7276543-B2,Radiation curable resin composition ,Dsm Ip Assets B.V.,"Timothy E. Bishop, Paul E. Snowwhite, Tyson Norlin, James J. Schouten, John Southwell, Anthony Toussaint",2001-10-09,2001-10-09,2007-10-02,2007-10-02,https://patents.google.com/patent/US7276543B2/en,,The present invention relates to a coated optical fiber comprising a glass optical fiber with a single protective coating or a combination of an inner and an outer primary coating applied thereon and optionally with a colored coating subsequently applied thereon wherein the inner primary coating or at least a portion of the single coating is prepared from a radiation curable composition which when cured as a capillary film with a 100W medium pressure mercury lamp has a percentage reacted acrylate unsaturation of at least about 54% after exposure to a dose of about 4.4 mJ/cm2 or wherein the outer primary coating is prepared from a radiation curable composition which when cured as a capillary film with a 100 W medium pressure mercury lamp has a percentage reacted acrylate unsaturation of at least about 56% after exposure to a dose of about 4.4 mJ/cm2. The invention further relates to a radiation curable composition having a high cure speed.
45,US-9498155-B2,Signal processing for continuous analyte sensor ,"Dexcom, Inc.","James H. Brauker, Victoria E. Carr-Brendel, Paul V. Goode, Apurv Ullas Kamath, James P. Thrower, Ben Xavier, Peter C. Simpson, Mark A. Tapsak",2003-12-09,2008-10-16,2016-11-22,2016-11-22,https://patents.google.com/patent/US9498155B2/en,https://patentimages.storage.googleapis.com/c6/d5/6d/559856f53b7584/US09498155-20161122-D00000.png,"Systems and methods for dynamically and intelligently estimating analyte data from a continuous analyte sensor, including receiving a data stream, selecting one of a plurality of algorithms, and employing the selected algorithm to estimate analyte values. Additional data processing includes evaluating the selected estimative algorithms, analyzing a variation of the estimated analyte values based on statistical, clinical, or physiological parameters, comparing the estimated analyte values with corresponding measure analyte values, and providing output to a user. Estimation can be used to compensate for time lag, match sensor data with corresponding reference data, warn of upcoming clinical risk, replace erroneous sensor data signals, and provide more timely analyte information encourage proactive behavior and preempt clinical risk."
46,US-8411108-B2,Rotational display system ,"Lightning Wheels, Llc","Mark D. Gilbert, Paul Chen, Lawrence Moens",2004-07-21,2009-12-23,2013-04-02,2013-04-02,https://patents.google.com/patent/US8411108B2/en,https://patentimages.storage.googleapis.com/8f/87/f7/1b8b4c87ee2385/US08411108-20130402-D00000.png,"The present invention provides a system which integrates unique lighting technologies, switching systems, mounting systems, information delivery systems and power supply systems within a support such as vehicular wheel to provide an advanced, high quality visual display apparatus in various surfaces of rotation. A displayed image may be three dimensional. These technologies, and their many unique applications, provide for a novel and useful series of video display devices that are small, lightweight, efficient and can have the capability of producing a clear, bright, high definition image that is equivalent to that of a modern day TV or high quality computer monitor."
47,US-9340621-B2,Binding molecules for BCMA and CD3 ,"Boehringer Ingelheim International Gmbh, Amgen Research (Munich) Gmbh","Peter Kufer, Tobias Raum, Patrick Hoffmann, Roman Kischel, Ralf Lutterbuese, Doris Rau, Paul Adam, Eric Borges, Barbara Hebeis, Susanne Hipp",2011-11-15,2012-11-15,2016-05-17,2016-05-17,https://patents.google.com/patent/US9340621B2/en,https://patentimages.storage.googleapis.com/d1/b1/b8/713b44bf89ee01/US09340621-20160517-D00001.png,"The present invention relates to a binding molecule which is at least bispecific comprising a first and a second binding domain, wherein the first binding domain is capable of binding to epitope cluster 3 of BCMA, and the second binding domain is capable of binding to the T cell CD3 receptor complex. Moreover, the invention provides a nucleic acid sequence encoding the binding molecule, a vector comprising said nucleic acid sequence and a host cell transformed or transfected with said vector. Furthermore, the invention provides a process for the production of the binding molecule of the invention, a medical use of said binding molecule and a kit comprising said binding molecule."
48,US-2020017577-A1,TDP-43 Specific Binding Molecules ,"Biogen International Neuroscience Gmbh, University Of Zürich","Roger Nitsch, Christoph Hock, Maria Grazia Barenco Montrasio, Fabio Montrasio, Jan Grimm, Jean-Luc Baeriswyl, Paul Weinreb, Janaky Coomaraswamy, Omar Quintero-Monzon",2011-10-28,2019-02-25,2020-01-16,,https://patents.google.com/patent/US20200017577A1/en,https://patentimages.storage.googleapis.com/ed/43/0d/b5ecc237a1b899/US20200017577A1-20200116-D00001.png,"Provided are novel TDP-43-specific binding molecules including polypeptides such as human antibodies, as well as fragments, derivatives and variants thereof. Also provided are methods related to these TDP-43 specific binding molecules. Assays, kits, and solid supports related to TDP-43-specific binding molecules, including polypeptides such as, human antibodies are also disclosed. The TDP-43-specific binding molecule, antibody, immunoglobulin chain(s), as well as binding fragments, derivatives and variants thereof can be used in pharmaceutical and diagnostic compositions for TDP-43 targeted immunotherapy and diagnosis, respectively."
49,US-2017056528-A1,"Modified nucleosides, nucleotides, and nucleic acids, and uses thereof ","Moderna Therapeutics, Inc.","Antonin de Fougerolles, Atanu Roy, Jason P. Schrum, Suhaib Siddiqi, Paul Hatala, Stephane Bancel",2011-10-03,2016-01-04,2017-03-02,,https://patents.google.com/patent/US20170056528A1/en,https://patentimages.storage.googleapis.com/ab/46/88/883e78f6e16e29/US20170056528A1-20170302-D00001.png,"The present disclosure provides modified nucleosides, nucleotides, and nucleic acids, and methods of using them."
50,US-7427323-B1,Quinacridone nanoscale pigment particles ,Xerox Corporation,"Maria M. BIRAU, Rina Carlini, C. Geoffrey Allen, Sandra J. Gardner, Karl W. Dawson, Peter G. Odell, Paul F. Smith, Caroline M. Turek, Roger E. Gaynor, Jeffrey H. Banning",2007-06-07,2007-06-07,2008-09-23,2008-09-23,https://patents.google.com/patent/US7427323B1/en,,"A nanoscale pigment particle composition includes a quinacridone pigment including at least one functional moiety, and a sterically bulky stabilizer compound including at least one functional group, wherein the functional moiety associates non-covalently with the functional group; and the presence of the associated stabilizer limits the extent of particle growth and aggregation, to afford nanoscale-sized particles."
51,US-7513624-B2,Method and apparatus for controllably modulating a laser in a laser projection display ,"Symbol Technologies, Inc.","Dmitriy Yavid, Paul Dvorkis, Ron Goldman, Joseph Katz, Narayan Nambudiri, Miklos Stern, Chinh Tan, Carl Wittenberg, Frederick F. Wood",2003-12-31,2007-10-02,2009-04-07,2009-04-07,https://patents.google.com/patent/US7513624B2/en,https://patentimages.storage.googleapis.com/ac/a2/4e/3367fa8cc16927/US07513624-20090407-D00007.png,A laser projection device suitable for displaying full color images is disclosed. The LPD includes a variety of techniques for modulating laser beams produced by one or more lasers with image data to controllably produce the image using a modified raster scan.
52,US-2005170396-A1,Secreted and transmembrane polypeptides and nucleic acids encoding the same ,"Baker Kevin P., Audrey Goddard, Godowski Paul J., Gurney Austin L., Victoria Smith, Wood William I.","Kevin Baker, Audrey Goddard, Paul Godowski, Austin Gurney, Victoria Smith, William Wood",2000-12-01,2005-01-14,2005-08-04,,https://patents.google.com/patent/US20050170396A1/en,https://patentimages.storage.googleapis.com/03/ab/97/be5fe3b4453fd4/US20050170396A1-20050804-D00001.png,"The present invention is directed to novel polypeptides and to nucleic acid molecules encoding those polypeptides. Also provided herein are vectors and host cells comprising those nucleic acid sequences, chimeric polypeptide molecules comprising the polypeptides of the present invention fused to heterologous polypeptide sequences, antibodies which bind to the polypeptides of the present invention and to methods for producing the polypeptides of the present invention."
53,US-9265826-B2,Siglec-9 binding agents ,University Court Of The University Of Dundee,"Paul Richard Crocker, Bjoern Biedermann, David Bowen",2005-10-28,2013-03-12,2016-02-23,2016-02-23,https://patents.google.com/patent/US9265826B2/en,https://patentimages.storage.googleapis.com/e5/58/0e/83249a5ff43b13/US09265826-20160223-D00001.png,"The present invention relates to agents capable of binding sialic acid-binding immunoglobulin-like lectin-9 (Siglec-9) and their use in the treatment of cell proliferation and differentiation disorders. Furthermore, the present invention provides associated pharmaceutical formulations and methods."
54,US-2021330812-A1,Treatment of retinal degeneration using gene therapy ,The University Of Manchester,"Robert Lucas, Paul Bishop, Jasmina Cehajic-Kapetanovic",2014-02-25,2021-01-19,2021-10-28,,https://patents.google.com/patent/US20210330812A1/en,https://patentimages.storage.googleapis.com/fc/64/35/4bd172be5a0f37/US20210330812A1-20211028-D00001.png,"The present invention relates to an improved method of providing photoreceptor function to a cell, for example for use in the treatment of retinal degeneration. The present invention also relates to compositions and kits, in particular for use in such methods."
55,US-2007174922-A1,Nucleic acid encoding novel type-1 cytokine receptor glm-r ,"Genentech, Inc.","Nico Ghilardi, Frederic de Sauvage, Audrey Goddard, Paul Godowski, J. Grimaldi, Austin Gurney, William Wood",2002-02-25,2003-02-24,2007-07-26,,https://patents.google.com/patent/US20070174922A1/en,https://patentimages.storage.googleapis.com/6a/b8/d3/28eac33ca9ea21/US20070174922A1-20070726-D00001.png,"The present invention is directed to novel polypeptides having sequence similarity to Interleukin 6 receptor and to nucleic acid molecules encoding those polypeptides. Also provided herein are vectors and host cells comprising those nucleic acid sequences, chimeric polypeptide molecules comprising the polypeptides of the present invention fused to heterologous polypeptide sequences, antibodies which bind to the polypeptides of the present invention and to methods for producing the polypeptides of the present invention."
56,US-2013011516-A1,Anti-listerial mixed culture and method for producing cheese ,Csk Food Enrichment B.V.,"Carmel GRIFFIN, Susan Mills, Paul Ross, Willem Cornelis Meijer, Lourdes Mariela Serrano Davalos",2011-07-04,2012-07-03,2013-01-10,,https://patents.google.com/patent/US20130011516A1/en,,"The present invention discloses a method for producing a fermented dairy product, preferably cheese, comprising inoculating milk with lactic acid bacteria capable of producing a Class IIa type bacteriocin; and lactic acid bacteria capable of producing a Class I type bacteriocin."
57,US-2004057940-A1,Imaging and targeting tumors using sickle cells ,"Kim Jae Ho, Brown Stephen Lawrence, Swerdlow Paul S.","Jae Kim, Stephen Brown, Paul Swerdlow",2000-06-22,2001-06-22,2004-03-25,,https://patents.google.com/patent/US20040057940A1/en,https://patentimages.storage.googleapis.com/bb/db/7a/121f5b37db9cf3/US20040057940A1-20040325-D00001.png,"According to the present invention, there is provided a delivery vehicle including sickle red blood cells carrying a moiety. The moiety can be any type of diagnostic or therapeutic agent. The present invention further provides for a method of diagnosing systemic hypoxia, acidosis, or hypertonicity by administering sickle red blood cells to a patient and detecting the location of the sickle red blood cells. Additionally, the present invention provides for a method of therapeutic treatment of systemic hypoxia, acidosis, or hypertonicity by administering sickle red blood cells to a patient. Further, the present invention provides for a delivery vehicle that specifically localizes or concentrates at systemic hypoxia, acidosis, or hypertonicity areas. The delivery vehicle is used in diagnosing and therapeutically treating these areas of hypoxia, acidosis, or hypertonicity also. The present invention further provides for a method of making the delivery vehicle described herein."
